farmer_id,state,district,crop_type,season,land_size_ha,soil_type,rainfall_mm,irrigation_type,loan_amount_inr,prior_loan_count,prior_default_flag,repayment_score,annual_income_inr,existing_debt_inr,default_risk
FC-000088,KA,KA-Coastal,Cotton,Kharif,3.02,Black,857.1,Drip,177072,5,0,100.0,198524,41246,0.1277
FC-000089,MP,MP-Mahakoshal,Wheat,Rabi,1.63,Alluvial,680.4,Drip,136780,2,0,100.0,65193,0,0.2656
FC-000090,MH,MH-Western,Cotton,Kharif,0.78,ClayLoam,554.0,Drip,65945,5,0,79.5,57967,0,0.2925
FC-000091,GJ,GJ-North,Wheat,Rabi,1.28,Alluvial,771.7,Drip,83026,0,0,100.0,56738,0,0.213
FC-000092,AP,AP-Coastal,Sugarcane,Rabi,0.39,Alluvial,943.8,Tubewell,50446,1,0,79.1,72999,10919,0.1392
FC-000093,TN,TN-North,Rice,Kharif,0.73,Laterite,1146.4,Canal,75719,1,0,55.5,40000,176475,0.7616
FC-000094,MH,MH-Western,Cotton,Kharif,9.56,Black,1085.3,Tubewell,673064,4,0,73.3,685740,92175,0.0934
FC-000095,KA,KA-South,Wheat,Rabi,2.49,Black,542.8,Rainfed,205377,1,0,64.1,95435,0,0.6479
FC-000096,TG,TG-North,Cotton,Kharif,1.66,Black,919.4,Rainfed,196139,1,0,65.5,142317,3068,0.3786
FC-000097,AP,AP-Coastal,Sugarcane,Kharif,0.6,Alluvial,1194.3,Tubewell,128113,1,0,77.8,148053,20971,0.3055
FC-000098,TG,TG-Central,Pulses,Rabi,2.25,Black,776.7,Rainfed,172749,1,1,59.1,40000,0,0.8413
FC-000099,AP,AP-Rayalaseema,Sugarcane,Kharif,0.52,Red,670.6,Tubewell,52336,1,0,84.2,102862,21376,0.2044
FC-000100,TG,TG-North,Cotton,Kharif,3.38,Sandy,1053.3,Tubewell,283145,5,0,66.5,209062,30079,0.1811
FC-000101,UP,UP-Eastern,Wheat,Rabi,2.59,Alluvial,756.4,Drip,265382,4,0,31.2,183706,27878,0.5156
FC-000102,TG,TG-South,Maize,Rabi,2.51,Black,592.1,Rainfed,148536,1,0,47.9,84269,14165,0.5561
FC-000103,BR,BR-Gangetic,Rice,Rabi,0.7,Alluvial,1193.3,Drip,81060,0,0,71.2,40000,0,0.3094
FC-000104,HR,HR-South,Wheat,Rabi,0.54,Alluvial,465.0,Tubewell,46622,1,0,61.7,40000,32233,0.4964
FC-000105,MP,MP-Bundelkhand,Wheat,Rabi,1.26,Red,952.8,Rainfed,75087,3,0,78.6,58114,34166,0.2828
FC-000106,MP,MP-Malwa,Soybean,Kharif,1.38,Red,1078.1,Drip,130650,1,0,62.7,56094,24326,0.558
FC-000107,UP,UP-Bundelkhand,Wheat,Rabi,1.86,Red,750.0,Canal,108830,0,0,80.1,111028,32055,0.2518
FC-000108,BR,BR-North,Wheat,Rabi,1.78,Alluvial,933.3,Tubewell,180884,0,0,73.6,85603,15633,0.541
FC-000109,PB,PB-Doaba,Wheat,Rabi,4.89,Alluvial,760.7,Tubewell,342754,1,0,67.3,234082,46523,0.3708
FC-000110,UP,UP-Western,Cotton,Kharif,0.51,ClayLoam,624.2,Canal,63221,1,0,85.5,40000,0,0.3419
FC-000111,UP,UP-Central,Wheat,Rabi,1.21,Alluvial,718.5,Tubewell,64293,4,0,78.5,40000,7562,0.3492
FC-000112,TN,TN-West,Pulses,Rabi,0.3,Alluvial,1141.6,Drip,57786,3,0,75.0,40000,62884,0.667
FC-000113,MH,MH-Western,Soybean,Kharif,1.22,Black,1007.7,Tubewell,87569,2,0,100.0,51129,28244,0.2428
FC-000114,UP,UP-Eastern,Soybean,Kharif,1.4,ClayLoam,806.2,Rainfed,93222,2,0,58.8,63378,0,0.4675
FC-000115,MH,MH-Western,Soybean,Kharif,0.52,Red,1060.9,Rainfed,66545,1,0,90.2,40000,56683,0.6683
FC-000116,BR,BR-South,Mustard,Rabi,0.61,Alluvial,1052.3,Rainfed,86026,0,0,80.4,40000,28477,0.6136
FC-000117,MP,MP-Malwa,Soybean,Kharif,1.18,Alluvial,799.5,Canal,97016,1,0,85.7,40000,0,0.2712
FC-000118,RJ,RJ-Marwar,Groundnut,Kharif,2.61,Alluvial,463.6,Tubewell,135217,2,0,59.9,156532,16686,0.1965
FC-000119,KA,KA-North,Sugarcane,Rabi,0.64,ClayLoam,831.1,Canal,67264,1,1,37.1,96774,297881,0.933
FC-000120,TN,TN-South,Rice,Rabi,0.41,Red,1220.5,Canal,66534,5,0,66.4,40000,0,0.384
FC-000121,TN,TN-South,Groundnut,Rabi,2.1,Red,907.1,Tubewell,209822,1,0,80.8,126019,0,0.1108
FC-000122,AP,AP-Rayalaseema,Cotton,Kharif,1.64,Alluvial,1171.0,Rainfed,145320,0,0,88.8,121353,0,0.1804
FC-000123,MH,MH-Marathwada,Rice,Kharif,0.6,ClayLoam,832.7,Rainfed,80158,3,0,91.2,40000,226142,0.8375
FC-000124,PB,PB-Malwa,Rice,Kharif,2.98,Alluvial,617.6,Tubewell,168087,1,0,64.5,190397,2341,0.109
FC-000125,MH,MH-Marathwada,Millet,Kharif,2.19,Alluvial,1083.6,Canal,94623,1,0,93.0,40620,65703,0.7078
FC-000126,GJ,GJ-Central,Pulses,Rabi,1.48,ClayLoam,253.4,Tubewell,153901,1,0,87.7,63556,18260,0.5251
FC-000127,MH,MH-Western,Cotton,Kharif,0.89,Black,874.7,Rainfed,95312,3,0,63.4,64540,24455,0.3407
FC-000128,RJ,RJ-Hadoti,Soybean,Kharif,1.46,ClayLoam,555.9,Rainfed,101231,5,0,70.2,40000,13244,0.3935
FC-000129,TN,TN-South,Maize,Rabi,2.67,Red,575.4,Canal,174882,2,0,73.4,95287,2080,0.4696
FC-000130,RJ,RJ-Hadoti,Millet,Kharif,0.54,Alluvial,250.0,Rainfed,46485,1,0,70.2,40000,4257,0.3704
FC-000131,AP,AP-Upland,Pulses,Rabi,2.07,Red,874.8,Canal,183717,3,0,45.2,50649,10825,0.6983
FC-000132,UP,UP-Central,Sugarcane,Rabi,1.91,Alluvial,870.7,Tubewell,238468,4,0,97.4,245101,51153,0.1622
FC-000133,RJ,RJ-Marwar,Wheat,Rabi,3.27,Sandy,466.1,Tubewell,202198,3,0,98.9,172923,11635,0.1797
FC-000134,MH,MH-Western,Wheat,Rabi,0.92,Laterite,978.9,Canal,120234,6,0,79.6,66341,30826,0.423
FC-000135,MH,MH-Konkan,Cotton,Kharif,0.77,Black,818.3,Tubewell,108162,2,0,80.6,76561,0,0.3724
FC-000136,RJ,RJ-Hadoti,Groundnut,Rabi,5.29,Alluvial,376.9,Rainfed,452620,2,0,83.8,274498,16697,0.499
FC-000137,GJ,GJ-South,Millet,Kharif,0.57,ClayLoam,1220.6,Drip,55721,4,0,58.5,40000,0,0.3905
FC-000138,UP,UP-Bundelkhand,Mustard,Rabi,2.45,ClayLoam,1011.2,Drip,215183,4,0,83.3,177360,10758,0.0964
FC-000139,GJ,GJ-Central,Cotton,Kharif,1.0,Alluvial,575.6,Canal,92994,3,1,30.2,40000,13859,0.8142
FC-000140,TN,TN-West,Sugarcane,Rabi,0.63,Red,1247.7,Rainfed,80182,3,0,69.0,111953,27061,0.3013
FC-000141,AP,AP-Coastal,Pulses,Rabi,3.98,Black,1239.4,Drip,216881,3,0,58.7,164095,3335,0.2203
FC-000142,MP,MP-Mahakoshal,Soybean,Kharif,1.27,Red,714.2,Canal,85157,2,0,77.1,40000,57536,0.799
FC-000143,MH,MH-Marathwada,Wheat,Rabi,0.38,Black,1119.0,Canal,45324,0,0,71.1,40000,3292,0.2303
FC-000144,PB,PB-Majha,Rice,Kharif,0.5,Alluvial,546.6,Rainfed,69622,3,0,71.0,40000,41787,0.6689
FC-000145,TG,TG-South,Rice,Rabi,1.33,Black,1118.3,Rainfed,122656,2,0,55.6,65176,17893,0.3553
FC-000146,AP,AP-Coastal,Cotton,Kharif,7.34,Alluvial,761.1,Canal,358912,2,0,74.9,397308,3812,0.2128
FC-000147,AP,AP-Rayalaseema,Cotton,Kharif,2.04,Alluvial,1077.8,Rainfed,189771,3,0,82.8,138108,71542,0.4163
FC-000148,TG,TG-North,Rice,Rabi,1.65,Black,1016.7,Canal,144526,2,0,76.5,110217,0,0.1828
FC-000149,BR,BR-North,Wheat,Rabi,0.96,Alluvial,1335.1,Tubewell,64107,1,0,100.0,51010,70382,0.245
FC-000150,MH,MH-Western,Soybean,Kharif,0.78,Black,782.6,Rainfed,77785,1,0,72.1,40000,0,0.4862
FC-000151,BR,BR-Gangetic,Wheat,Rabi,2.42,Alluvial,1698.8,Rainfed,162684,4,0,82.2,122309,0,0.1878
FC-000152,UP,UP-Eastern,Rice,Rabi,3.24,Alluvial,922.1,Rainfed,157317,0,0,51.4,208155,30908,0.3014
FC-000153,RJ,RJ-Mewar,Millet,Kharif,1.78,Alluvial,679.4,Drip,101869,2,0,77.5,40000,30597,0.5892
FC-000154,MP,MP-Mahakoshal,Groundnut,Rabi,1.29,Alluvial,1060.7,Canal,81410,3,0,85.7,65635,24259,0.2353
FC-000155,MP,MP-Chambal,Pulses,Rabi,1.2,Black,892.6,Canal,108476,3,0,94.1,48807,15780,0.5624
FC-000156,UP,UP-Western,Sugarcane,Rabi,0.7,Alluvial,720.9,Canal,95573,1,0,99.2,136544,19095,0.1625
FC-000157,MH,MH-Vidarbha,Pulses,Rabi,0.93,Alluvial,1178.3,Canal,69949,0,0,82.6,40000,59792,0.5706
FC-000158,HR,HR-East,Rice,Kharif,5.02,Alluvial,564.8,Tubewell,248122,3,0,100.0,322853,27754,0.115
FC-000159,HR,HR-East,Mustard,Rabi,1.06,Alluvial,375.2,Tubewell,72302,3,0,94.2,83654,21694,0.194
FC-000160,KA,KA-North,Cotton,Kharif,0.47,ClayLoam,930.1,Tubewell,79826,4,1,40.0,40000,57323,0.8811
FC-000161,GJ,GJ-Saurashtra,Groundnut,Rabi,1.54,ClayLoam,642.3,Tubewell,77486,1,0,82.3,43540,11632,0.257
FC-000162,HR,HR-East,Mustard,Rabi,2.63,Alluvial,390.2,Tubewell,212473,1,0,71.7,114873,24854,0.3867
FC-000163,MP,MP-Chambal,Soybean,Kharif,1.1,Red,813.2,Tubewell,116112,3,0,67.9,40000,0,0.6173
FC-000164,MP,MP-Bundelkhand,Millet,Kharif,1.36,Black,830.9,Canal,80514,1,0,71.0,40000,26640,0.3544
FC-000165,TN,TN-West,Wheat,Rabi,2.94,Sandy,983.9,Canal,147805,4,0,93.0,151203,7729,0.1781
FC-000166,BR,BR-Gangetic,Wheat,Rabi,2.89,Alluvial,1037.4,Rainfed,183895,3,0,95.9,182443,0,0.2342
FC-000167,HR,HR-East,Mustard,Rabi,1.21,ClayLoam,636.9,Tubewell,86118,1,0,100.0,40000,86877,0.6534
FC-000168,MP,MP-Chambal,Wheat,Rabi,4.4,Black,1167.1,Canal,254283,1,0,74.6,309362,23215,0.0876
FC-000169,BR,BR-Gangetic,Rice,Kharif,0.73,Alluvial,1268.1,Canal,65077,3,0,80.8,40000,78773,0.7124
FC-000170,MH,MH-Western,Cotton,Kharif,0.68,Red,599.1,Canal,55034,2,0,69.1,40000,29580,0.6046
FC-000171,PB,PB-Malwa,Rice,Kharif,0.9,ClayLoam,782.5,Rainfed,66104,1,0,86.2,51933,28150,0.369
FC-000172,AP,AP-Rayalaseema,Groundnut,Kharif,0.29,Black,967.1,Tubewell,42914,0,0,93.1,40000,0,0.1562
FC-000173,BR,BR-South,Wheat,Rabi,0.49,Alluvial,1348.3,Rainfed,40462,5,0,52.3,40000,45873,0.5927
FC-000174,MP,MP-Mahakoshal,Wheat,Rabi,1.26,Black,824.7,Tubewell,129417,5,0,75.0,66588,0,0.2272
FC-000175,KA,KA-North,Groundnut,Rabi,3.09,Black,1369.0,Canal,200797,1,0,78.6,201766,17210,0.1939
FC-000176,UP,UP-Central,Rice,Rabi,2.35,Alluvial,1049.0,Tubewell,219113,3,0,73.9,261149,58361,0.2657
FC-000177,MH,MH-Vidarbha,Maize,Rabi,1.32,Laterite,546.6,Canal,137665,2,0,45.6,62145,28869,0.6182
FC-000178,UP,UP-Western,Wheat,Rabi,0.34,Alluvial,1037.8,Rainfed,67843,1,0,79.6,40000,5350,0.3642
FC-000179,BR,BR-North,Wheat,Rabi,2.99,Alluvial,659.2,Rainfed,130404,1,0,54.1,101564,2241,0.4909
FC-000180,MP,MP-Chambal,Maize,Kharif,0.75,Alluvial,692.7,Canal,88451,0,0,76.5,40000,9306,0.6954
FC-000181,MH,MH-Marathwada,Wheat,Rabi,0.79,Black,789.9,Canal,73139,5,0,62.0,40000,51131,0.743
FC-000182,AP,AP-Rayalaseema,Maize,Rabi,1.13,Alluvial,1284.2,Rainfed,112493,3,0,72.1,40000,7971,0.5911
FC-000183,PB,PB-Malwa,Cotton,Kharif,4.75,Alluvial,695.7,Tubewell,409226,1,0,73.4,223574,30268,0.3247
FC-000184,MH,MH-Konkan,Sugarcane,Rabi,0.85,Black,1143.3,Rainfed,95796,2,0,75.3,110706,58373,0.2407
FC-000185,AP,AP-Rayalaseema,Rice,Kharif,5.46,ClayLoam,673.8,Tubewell,369992,3,0,42.1,244185,4915,0.4323
FC-000186,KA,KA-South,Maize,Kharif,2.61,ClayLoam,1558.5,Drip,144612,2,0,84.1,147678,7089,0.1872
FC-000187,GJ,GJ-South,Maize,Kharif,4.0,Alluvial,502.4,Tubewell,242050,0,0,94.9,203563,0,0.2211
FC-000188,UP,UP-Bundelkhand,Wheat,Rabi,0.92,Alluvial,819.1,Rainfed,91031,4,0,78.6,40000,6273,0.464
FC-000189,TG,TG-North,Groundnut,Kharif,1.04,Black,937.2,Canal,64841,2,0,86.5,46298,85293,0.3961
FC-000190,AP,AP-Rayalaseema,Pulses,Kharif,1.26,Red,784.7,Rainfed,123579,1,1,58.8,40000,59224,0.8869
FC-000191,TN,TN-South,Millet,Kharif,0.43,Red,990.9,Canal,53360,2,0,64.3,40000,37793,0.4789
FC-000192,MP,MP-Malwa,Wheat,Rabi,0.84,Red,924.7,Canal,56230,2,0,48.9,40000,384456,0.8822
FC-000193,HR,HR-South,Wheat,Rabi,1.28,Alluvial,489.8,Tubewell,77088,6,0,59.0,82519,39459,0.386
FC-000194,GJ,GJ-North,Wheat,Rabi,0.44,Red,768.2,Tubewell,77975,5,0,91.1,40000,4858,0.4261
FC-000195,GJ,GJ-South,Cotton,Kharif,4.89,Black,887.0,Tubewell,319348,3,0,62.0,390672,0,0.1793
FC-000196,UP,UP-Central,Rice,Kharif,0.69,Red,761.5,Rainfed,77689,5,0,70.8,40000,16430,0.5272
FC-000197,MH,MH-Vidarbha,Maize,Kharif,0.46,Alluvial,863.6,Drip,48361,1,0,70.0,40000,0,0.2303
FC-000198,RJ,RJ-Marwar,Millet,Kharif,2.07,Sandy,332.7,Rainfed,153522,1,1,68.6,51538,57875,0.8475
FC-000199,RJ,RJ-Marwar,Groundnut,Kharif,0.83,ClayLoam,393.8,Tubewell,69463,3,0,60.5,58031,4692,0.3669
FC-000200,MH,MH-Western,Pulses,Rabi,1.0,Black,850.0,Canal,73034,2,0,84.9,40000,62026,0.6248
FC-000201,RJ,RJ-Shekhawati,Mustard,Rabi,2.63,Sandy,513.1,Canal,148609,1,0,90.9,91820,3380,0.3488
FC-000202,RJ,RJ-Shekhawati,Maize,Kharif,0.88,Sandy,378.5,Canal,54325,2,0,61.5,40000,4334,0.3033
FC-000203,BR,BR-Gangetic,Rice,Kharif,1.42,Alluvial,1180.2,Rainfed,106533,4,0,97.3,78889,16877,0.2415
FC-000204,KA,KA-South,Sugarcane,Rabi,5.8,Black,706.2,Drip,508156,4,0,100.0,700000,0,0.1381
FC-000205,KA,KA-South,Rice,Rabi,0.89,Red,840.3,Canal,102114,3,0,48.0,40000,17171,0.6615
FC-000206,BR,BR-Gangetic,Rice,Kharif,0.8,Alluvial,1203.5,Canal,58286,2,0,97.2,40000,0,0.2154
